index,pmu_name,captured_at,soc,fracsec_raw,fracsec_count,lag_ms,raw_hex,raw_bytes
1,pmu-5,2026-09-07T04:58:32.8141518Z,1788757125,160000,160000,-12345.848,aa01005800016a9e44850002710000004287f745bf6051844287fcdebf66eda8428804adbf609c1242880634bf670d904287fbe0bf5c9d884287fa6cbf5f5ba84270062539343d710000000000000000000000000008c045,88
2,pmu-2,2026-09-07T04:58:32.8141518Z,1788757125,60000,60000,-12245.848,aa01005800016a9e44850000ea60000042600437c0182132425ff1f8c01886474260028ac018647c42600de3c017e72a42600a17c018b115425ffa46c01935d8427006e839ac3d71000000000000000000000000000bb2fd,88
3,pmu-1,2026-09-07T04:58:32.8141518Z,1788757124,800000,800000,-11985.848,aa01005800016a9e4484000c350000004287fd76bf66def64287fa27bf5ea1c74288103dbf5f55e74287f726bf5ca83f4287f8cfbf5ed8f94287f203bf5e256c4270006a394fd70a000000000000000000000000000cd17f,88
4,pmu-4,2026-09-07T04:58:32.8141518Z,1788757124,640000,640000,-11825.848,aa01005800016a9e44840009c400000042bdf5f34020bccc42bdfd9a4020d3cf42be03924020682442bdfc6d402232af42bdfdd44020b63f42be0790402215f4427006db399e51ec000000000000000000000000000054e4,88
5,pmu-5,2026-09-07T04:58:32.8685926Z,1788757125,180000,180000,-12311.407,aa01005800016a9e44850002bf200000428df463bf0191a9428dffe5bf0440c5428e069ebeff491d428e09ebbf0471c1428df9dabef70e1d428df9f0befe9305426ff9dcb97b999a00000000000000000000000000093b1b,88
6,pmu-5,2026-09-07T04:58:32.8685926Z,1788757125,200000,200000,-12331.407,aa01005800016a9e448500030d4000004293f965be0a41ed4293fd26be123c95429404aabdfad6c842940a56be16daca4293fdf2bdc850164293fd1dbe01a00c4270054c396a3d71000000000000000000000000000a6302,88
7,pmu-4,2026-09-07T04:58:32.8685926Z,1788757124,660000,660000,-11791.407,aa01005800016a9e4484000a1220000042c3f1c14038d57242c3fcff4039874842c402cf4039021d42c3ff36403a040542c3f9134038493642c40410403ad45142700563b7f0a3d700000000000000000000000000015b38,88
8,pmu-2,2026-09-07T04:58:32.8685926Z,1788757125,80000,80000,-12211.407,aa01005800016a9e4485000138800000426bfabcc00074d2426bed95c000c679426c0719bfff5b25426c0eadbfffa793426c0d02bfffecd7426bfea0c000c3e5426ff68db9a77ae1000000000000000000000000000c3f97,88
9,pmu-1,2026-09-07T04:58:32.8685926Z,1788757124,820000,820000,-11951.407,aa01005800016a9e4484000c83200000428dfcc9bf0604e3428dfd96befa99b8428e1453befb5e72428df2ebbef6febe428df5acbeffe5ab428df5e0beffa856426ffd2db884a3d7000000000000000000000000000d1980,88
10,pmu-3,2026-09-07T04:58:32.8685926Z,1788757123,960000,960000,-11091.407,aa01005800016a9e4483000ea6000000426bfb70c00183cb426c010cc000f94b426bf3c4c000ef86426bf048c000a337426bfe63c000804b426c01c6c000719c4270009f38a3d70a00000000000000000000000000061f56,88
11,pmu-4,2026-09-07T04:58:32.8685926Z,1788757124,680000,680000,-11811.407,aa01005800016a9e4484000a6040000042480000c0490fdb42480000c0490fdb42480000c0490fdb42480000c0490fdb42480000c0490fdb42480000c0490fdb427001fcb88b5c2900000000000000000000000000023513,88
12,pmu-1,2026-09-07T04:58:32.8685926Z,1788757124,840000,840000,-11971.407,aa01005800016a9e4484000cd14000004293faeabe1d99904293ff74bde7ebc342941026bdd52f234293f10cbdd6d2654293f147be02329c4293f630bdffb8d24270079a3955851f000000000000000000000000000e7a5b,88
13,pmu-2,2026-09-07T04:58:32.8685926Z,1788757125,100000,100000,-12231.407,aa01005800016a9e4485000186a0000042780343bfd01ecd4277ee19bfd1236942780302bfcff91e427818d8bfce95504278053cbfd0b23c4277fd75bfd1d5e64270009c394e0000000000000000000000000000000db754,88
14,pmu-3,2026-09-07T04:58:32.8685926Z,1788757123,980000,980000,-11111.407,aa01005800016a9e4483000ef420000042780428bfd245204277f92cbfd2179d4277f713bfd0bf114277fa68bfd0792c42780381bfd12d4b4277fb8ebfd15ac0426fff56b7d28f5c0000000000000000000000000007d98f,88
15,pmu-3,2026-09-07T04:58:32.8691632Z,1788757125,0,0,-12130.837,aa01005800016a9e448500000000000042820531bfa0dc9f4281faabbfa1cb754281fafdbfa104d64281fdc2bf9fa592428204b1bfa1e41b4281fbfbbfa1c0a94270092c394970a4000000000000000000000000000878ab,88
16,pmu-5,2026-09-07T04:58:32.9159222Z,1788757125,220000,220000,-12304.078,aa01005800016a9e448500035b6000004299f5393e80bf75429a01bb3e7742a44299ffea3e870e2a429a0ca03e6f4d87429a01693e8bb5b24299fcd03e7d45034270082e386c28f6000000000000000000000000000bd472,88
17,pmu-2,2026-09-07T04:58:32.9159222Z,1788757125,120000,120000,-12204.078,aa01005800016a9e44850001d4c0000042820583bf9edc994281f358bfa0866f428202bbbfa0b7824282095cbf9f1e674281fe53bfa0c05d4281fe23bfa2139b426ffb5bb8d73333000000000000000000000000000e5112,88
18,pmu-3,2026-09-07T04:58:32.9159222Z,1788757125,20000,20000,-12104.078,aa01005800016a9e448500004e20000042880827bf5f30ea4287fd3bbf60a3c94287fae0bf632f934287fe32bf5f8a5b428800c0bf60b8154287f7ddbf6445a9427006e1b83bd70a00000000000000000000000000099294,88
19,pmu-1,2026-09-07T04:58:32.9159222Z,1788757124,860000,860000,-11944.078,aa01005800016a9e4484000d1f6000004299fa5a3e660def429a04153e8c060a429a0ff93e8bc9664299f0b93e891aa54299f4ad3e7db3944299f1173e78a49942700301b8bc51ec000000000000000000000000000f541b,88
20,pmu-5,2026-09-07T04:58:32.9159222Z,1788757125,240000,240000,-12324.078,aa01005800016a9e44850003a9800000429ff0993f2189b942a006723f1fda10429ffc303f2691c642a007c23f1ea9ac429ffd433f25e73c429ff9773f1fe1f742700777b76a3d71000000000000000000000000000c9da5,88
21,pmu-4,2026-09-07T04:58:32.9159222Z,1788757124,700000,700000,-11784.078,aa01005800016a9e4484000aae60000042540384c031722c425400f3c03104294253fc21c03074e742540379c031519a4253fabcc030e28242540819c0318843427003a73808a3d7000000000000000000000000000353be,88
22,pmu-3,2026-09-07T04:58:32.9159222Z,1788757125,40000,40000,-12124.078,aa01005800016a9e448500009c400000428e05bfbef8760c428dfef7bf023021428dfe25bf022680428df91cbf0030f9428dff81befd1170428df46ebf02e0e7426ffd33b9463d71000000000000000000000000000a1a40,88
23,pmu-2,2026-09-07T04:58:32.9159222Z,1788757125,140000,140000,-12224.078,aa01005800016a9e4485000222e00000428800b8bf5e65bc4287eeb3bf5fb3834287ffc5bf62dcc342880e61bf5ea83942880197bf61079e4287fea9bf6200ed426ff887b867ae14000000000000000000000000000f1683,88
24,pmu-4,2026-09-07T04:58:32.9164361Z,1788757124,720000,720000,-11803.564,aa01005800016a9e4484000afc800000425ff9d7c019a4bf426009b1c01849cc42600265c018a50742600d8fc0199f70425ff258c0188323426000b2c0199b164270041b37147ae100000000000000000000000000044b32,88
25,pmu-1,2026-09-07T04:58:32.9164361Z,1788757124,880000,880000,-11963.564,aa01005800016a9e4484000d6d800000429ff9313f1bb8ed42a0074f3f2657d942a0107d3f24c7ff429feced3f263a90429ff1c03f209a73429fecdc3f1cae3f427006cf389bd70a0000000000000000000000000000025a,88
26,pmu-5,2026-09-07T04:58:32.9612287Z,1788757125,260000,260000,-12298.771,aa01005800016a9e44850003f7a0000042a5f0273f82322a42a605863f7f6e9b42a600543f83450f42a604023f80ac1a42a5f9473f838a7542a5f51c3f803666426ff7e3b99f851f000000000000000000000000000db908,88
27,pmu-1,2026-09-07T04:58:32.9612287Z,1788757124,900000,900000,-11938.771,aa01005800016a9e4484000dbba0000042a5fcdd3f7ebac742a603ba3f84b23042a60b7b3f81c35442a5e8fc3f83cfe642a5f01d3f8179fd42a5ee0b3f7c0d59426ffd82b93e7ae10000000000000000000000000001069a,88
28,pmu-3,2026-09-07T04:58:32.9612287Z,1788757125,60000,60000,-12098.771,aa01005800016a9e44850000ea60000042940908bdcfb63c4293fb50bdf988a24293fafbbdf8cdd64293fdedbe006562429402f4bdfdce924293f259be0b5dbe426fffe8385dc28f000000000000000000000000000baa8a,88
29,pmu-2,2026-09-07T04:58:32.9612287Z,1788757125,160000,160000,-12198.771,aa01005800016a9e4485000271000000428e0571befe4a63428decccbf01744c428dfe04bf015c90428e0e8cbefcca78428e013bbf0121fe428df9e9bf0133414270090639a8eb8500000000000000000000000000006cae,88
30,pmu-4,2026-09-07T04:58:32.9612287Z,1788757124,740000,740000,-11778.771,aa01005800016a9e4484000b4aa00000426bf79fc00184b8426c0e4fbffff3b7426c09d5c000960a426c1762c00218ef426bfb34c0005123426c05b1c0019cc2426ff850b971851f0000000000000000000000000005d3cf,88
31,pmu-3,2026-09-07T04:58:33.0031379Z,1788757125,80000,80000,-12076.862,aa01005800016a9e4485000138800000429a0b573e9004b04299f7d63e821ba94299fc223e854fd2429a01973e7ecf84429a05103e80b3884299f3b63e7b3fdb426ffd77b8480000000000000000000000000000000c058c,88
32,pmu-4,2026-09-07T04:58:33.0031379Z,1788757124,760000,760000,-11756.862,aa01005800016a9e4484000b98c000004277f3e2bfd203324278053bbfd0f8314278000bbfcfee9342781894bfd4be6b4277fc5dbfd0252342780c63bfd39458427001093932a3d70000000000000000000000000006ff41,88
